specialty,product-cat,caption,price,description,weight,vendor,order_date,expiry_date,quantity,unit_cost,total_cost
Lab Plasticware,Atomic Models,Crystal Model Set,329.22,"These Crystal Model Sets contain different coloured jacks (Red, Black & White) & connectors ..",0.000497512,Romsons Group Of Industries,8/8/2024,8/8/2028,47,32.922,1547.334
General,Height & Weight Scales,Height Measuring Scale / Stadiometer (General Quality),1199,"Product Details:Height Measuring Scale, floor model without weighing scaleMeasuring range : 20 - 210..",0.00199005,M/S IMADE TECHNOLOGY PRIVATE LIMITED,6/7/2023,6/7/2026,1,119.9,119.9
Ortho Aid,Pelvic Traction Kit,Pelvic Traction Kit,1230.6,"Size :        Small, Medium, Large, X Large        Specifications :        Foam padded pelvic  tract..",0.000497512,Ambu,1/3/2023,1/3/2027,21,123.06,2584.26
Linen,Hospital Uniform,"IndoSurgicals Scrub Suit for Doctors, Unisex, Poly Cotton (Royal Blue)",699,Return/Replacement will not allow after Embroidery.Fit Type: Regular FitV-neck tunic styling. Side v..,0.000497512,Max Healthcare Institute Limited,30/12/2022,30/12/2026,35,69.9,2446.5
Anesthesia Equipment,Oxygen Cylinder & Regulators,Oxygen Cylinder 5.0 Ltrs.,7788,"Empty Oxygen Cylinder, Water capacity 5.0 Litre.Supplied with F A Valve with Flowmeter and Pressure ..",0.00199005,Medtronic,20/05/2023,20/05/2026,23,778.8,17912.4
Opthalmology Instruments,Retractor,Mueller Lacrimal Sac Retractor,929,Material: High-quality stainless steelFunction: Used to retract tissues around the lacrimal sac duri..,0.000497512,Vishal Surgitech,16/11/2023,16/11/2027,19,92.9,1765.1
Anesthesia Equipment,Laryngoscope,IndoSurgicals Fiber Optic Anterior Commissure Laryngoscope Rigid,2999,Anterior Commissure Laryngoscope: Our anterior commissure laryngoscope is specifically designed for ..,0.00199005,Shilpa Medicare Limited,22/03/2024,22/03/2027,13,299.9,3898.7
Spine Surgery,Forceps,Disc Punch Forceps (Plain) Down,3499,Stainless SteelReusablePremium Grade,0.000497512,Terumo,27/04/2022,27/04/2026,38,349.9,13296.2
Hollowware,Deluxe Quality,"Dressing Drum 6"" x 4"" (Deluxe Quality)",599,"Dressing Drum, domed top and bottom with sliding removable band and drop down-hasps            Stain..",0.000497512,Trivitron Healthcare Private Limited,3/7/2023,3/7/2027,12,59.9,718.8
Lab Equipment,Hot Air Sterilizers,"Hot Air Sterilizer, Double Wall, Universal Type, Upto 250ÂºC 324 Ltrs SS Chambers",79010.4,Upto  250ÂºC (Laboratory Electric Oven Universal Type)                Temperature  Thermostatically..,0.000497512,Max Healthcare Institute Limited,30/04/2023,30/04/2027,26,7901.04,205427.04
General,Height & Weight Scales,Digital Baby Weighing Scale,3699,Height scale to measure length of babyLarge scale size : 563 x 333 mmAccurately measures weight in 5..,0.00199005,Ben Franklin Opticians,4/7/2024,4/7/2027,40,369.9,14796
Neurosurgery,Suture,Nylon suture,455,6-0 70cm,0.000497512,Girish Surgical Works,2/1/2024,2/1/2028,44,45.5,2002
General,Stethoscope,IndoSurgicals Silvery II-SS Stethoscope (Free Engraving),1199,Product Details:Machined stainless steel chest piece.Double sided chest piece technology.Diaphragm D..,0.00199005,Poly Medicure,14/04/2024,14/04/2027,27,119.9,3237.3
Lab Plasticware,Racks & Stands,Test Tube Peg Rack (Pack of 6 Pcs.),1328.68,These racks can conveniently hold inverted tubes for drying purpose and minimizes collection of airb..,0.000497512,B. Braun,24/12/2024,24/12/2028,10,132.868,1328.68
Surgery,Instrument Kit,Laparotomy Instruments Kit (Pediatric),8799,Laparotomy Pediatric Instruments KitPack of 25 InstrumentsStainless SteelReusableS. No.Name of Items..,0.001492537,Inor Medical Products Ltd,8/3/2023,8/3/2027,27,879.9,23757.3
Surgery,Scissors,Mayo Scissors (Curved) Bladed Blunt/Blunt,399,"To cut and dissect tissue.To cut sutures, clothing, bandages.More control and precision. Reduction o..",0.001492537,Santosh Surgical Instruments,8/5/2023,8/5/2027,15,39.9,598.5
Surgery,Forceps,Crile Artery Forceps (Straight),359,"Stainless SteelReusablePremium GradeSKUSize933406""933428""..",0.001492537,Bard,21/01/2025,21/01/2029,10,35.9,359
Furniture,Hospital Beds,Hospital Plain Bed (Wire Mesh Plateform),10133,Frame work made of rectangular M.S. Tube.Top made of welded wire meshTubular head & foot bows of..,0.000497512,Stryker,29/04/2022,29/04/2026,30,1013.3,30399
Cardiothoracic Instrument,Forceps,DeBakey Satinsky Forceps,2269,"Stainless SteelReusablePremium GradeSKUSize933706""933718""9337210""..",0.001492537,Girish Surgical Works,7/2/2023,7/2/2027,37,226.9,8395.3
Surgery,Forceps,Duval Lung Holding Forceps,1099,"High-Quality Stainless Steel â€“ Corrosion-resistant, durable, and autoclavable for repeated use.Trian..",0.001492537,B. Braun,11/7/2023,11/7/2027,21,109.9,2307.9
Lab Equipment,Hot Air Sterilizers,"Hot Air Sterilizer, Triple Wall with Air Circulating System upto 250ÂºC 216 Ltrs",102690.56,"(Laboratory  Electric Oven), Triple Wall with Air Circulating System upto 250ÂºC                In ..",0.000497512,Palakkad Surgical,18/09/2023,18/09/2027,28,10269.056,287533.568
Surgery,Suction Units Electric,Suction Unit (60 Ltrs./min),31249,Housing : Powder coated anti corrosive MSJars : Polycarbonate 2 X 2.5 Ltrs. capacityOverflow Protect..,0.001492537,Siemens Healthineers,31/05/2023,31/05/2027,35,3124.9,109371.5
Laparoscopic Instrument,Graspers,Universal Maxi Grasper,2199,Universal Maxi Grasper..,0.000497512,Fortis Healthcare Limited,15/01/2025,15/01/2029,30,219.9,6597
Misc Products,Blanket,Emergency Foil Blankets,99,Size:Â 140 x 210cmProvides emergency protection in all weather conditionsReflect 90% body heatRe..,0.000497512,Bauch & Lomb,30/12/2022,30/12/2026,29,9.9,287.1
Surgery,Instrument Kit,Chalazion Instruments Set,4060,You can also buy this product from our Amazon store.Buy Now    Chalazion Instruments Set C..,0.001492537,Integra,5/8/2023,5/8/2027,24,406,9744
Surgery,Forceps,Green Armytage Forceps,509,Made by quality stainless steelLength of forceps is 8.25 InchThe forceps are available in straightTh..,0.001492537,Intersurgical,22/11/2022,22/11/2026,16,50.9,814.4
Surgery,Suction Units Electric,Suction Unit (60 Ltrs./min),31249,Housing : Powder coated anti corrosive MSJars : Polycarbonate 2 X 2.5 Ltrs. capacityOverflow Protect..,0.001492537,Lotus Surgicals,25/09/2024,25/09/2028,21,3124.9,65622.9
Linen,Hospital Uniform,IndoSurgicals Scrub Suits for Women Doctors Poly Cotton (Faux Wrap Neck),749,Return/Replacement will not allow after Embroidery.Material: 50% Cotton and 50% PolyesterFit type: R..,0.000497512,Integra,8/2/2025,8/2/2029,40,74.9,2996
Anesthesia Equipment,Oxygen Cylinder & Regulators,Flow Meter with Humidifier Bottle,1699,Flow Meter with Humidifier Bottle..,0.00199005,GPC Medical,26/11/2023,26/11/2026,16,169.9,2718.4
ENT Instruments,Laryngoscope,LED Laryngoscope Set Miller (Deluxe Quality),2402.4,Stainless Steel blades with removable LED lamp            Handle & Blades are made of stainless ..,0.000497512,Inor Medical Products Ltd,18/08/2022,18/08/2026,33,240.24,7927.92
Lab Equipment,Laboratory Incubators,Laboratory Incubator Universal Type 122 Ltrs SS Chambers,42609.28,Temperature  Thermostatically controlled by hydraulic thermostat 5ÂºC above ambient to 70ÂºC  with a s..,0.000497512,Ben Franklin Opticians,22/01/2023,22/01/2027,44,4260.928,187480.832
Surgery,Forceps,Fine Dissecting Forceps (Jewellers Forceps),199,Fine Dissecting Forceps (Jewellers Forceps)..,0.001492537,Abbott,16/09/2023,16/09/2027,14,19.9,278.6
Opthalmology Instruments,Retractor,Dastoor Iris Retractor,299,Material: High-quality stainless steelFunction: Used to retract the iris during ophthalmic surgeries..,0.000497512,B. Braun,25/05/2023,25/05/2027,3,29.9,89.7
Emergency Medicine,Syringe,Disposable syringe,38,10mlDispovan,0.000497512,Romsons,8/2/2024,8/2/2028,15,3.8,57
General,Resuscitator,Silicone Artificial Resuscitator (Ambu Type Bag) Child,799,Silicone Artificial Resuscitator (Ambu Type Bag) Child,0.00199005,Gesco Healthcare,11/2/2024,11/2/2027,26,79.9,2077.4
Anesthesia Equipment,CPR Mask,Pocket CPR Mask,315,Convenient ready to useCrystal clear maskSafe and hygienicSuitable for supplementary oxygenComfort a..,0.00199005,Inor Medical Products Ltd,16/02/2023,16/02/2026,48,31.5,1512
Urology,Stent,Double J stent,3489,6Fr x 26cmCook Medical,0.000497512,Bauch & Lomb,26/07/2023,26/07/2027,30,348.9,10467
General,Baby Weighing Scales,Baby Weighing Scales - Digital,5929.5,Capacity : 25 Kg Graduation : 10 gm Design with handle..,0.00199005,Trivitron Healthcare Private Limited,23/10/2022,23/10/2025,7,592.95,4150.65
Linen,Hospital Uniform,IndoSurgicals Scrub Suits for Women Doctors Poly Cotton (Faux Wrap Neck),749,Return/Replacement will not allow after Embroidery.Material: 50% Cotton and 50% PolyesterFit type: R..,0.000497512,Shilpa Medicare Limited,6/10/2022,6/10/2026,46,74.9,3445.4
Hollowware,General Quality,"IndoSurgicals Instrument Tray 14x10"" (General Quality)",699,Material: Crafted from high-quality stainless steel for durability and ease of sterilizationDesign: ..,0.000497512,Opto Circuits India Limited,26/10/2023,26/10/2027,45,69.9,3145.5
Lab Equipment,Laboratory Incubators,Laboratory Incubator with Perfect System 122 Ltrs,105874.72,Laboratory  Incubator with Perfect System                             In this system there  is one..,0.000497512,Johnson & Johnson,1/10/2023,1/10/2027,9,10587.472,95287.248
ENT Instruments,Scissors,Micro Spring Scissors (Straight),999,"SKUSize941306""941317""..",0.000497512,Romsons Group Of Industries,22/06/2024,22/06/2028,35,99.9,3496.5
Anesthesia Equipment,CPR Mask,Pocket CPR Mask,315,Convenient ready to useCrystal clear maskSafe and hygienicSuitable for supplementary oxygenComfort a..,0.00199005,Rama Surgical House,11/8/2023,11/8/2026,50,31.5,1575
Ortho Aid,Wrist & Elbow Splints,Wrist and Forearm Splint (Left),418.95,"Size :        Small, Medium, Large, XLarge         Specifications :        Pre shaped splint for  im..",0.000497512,Wockhardt Limited,20/10/2024,20/10/2028,23,41.895,963.585
Furniture,Hospital Ward Furniture,Revolving Patient Stool (SS Top),2360,M.S.  tubular frame with SS top Height adjustable with screw me..,0.000497512,Fortis Healthcare Limited,10/12/2023,10/12/2027,13,236,3068
Misc Products,Destroyer,Instant Needle Burner & Syringe Destroyer,2125,Syringe & Needle Destroyer is electrically operated equipment helps to destroyer/melt the needle..,0.000497512,Bard,23/05/2022,23/05/2026,6,212.5,1275
Gastroenterology Instruments,Rectal Speculum,Pratt Rectal Speculum,3669,Pratt Rectal Speculum,0.000497512,Dr. Lal PathLabs Limited,18/03/2024,18/03/2028,16,366.9,5870.4
Radiology Aid,Lead Aprons,RADARMOURÂ® Lead Apron (Lead Vinyl) Lightweight,4480,"ACCEPTABLE LEVEL OF SAFETY: RADARMOUR offers a highly acceptable level of protection, with a lead-eq..",0.000497512,Narang,29/01/2023,29/01/2027,26,448,11648
Surgery,Instrument Kit,Midwifery Instruments Kit,1999,Midwifery Instruments KitPack of 9 InstrumentsStainless SteelReusableS. No.Name of ItemsQty.1Dis..,0.001492537,CDR MEDICAL INDUSTRIES,4/8/2024,4/8/2028,24,199.9,4797.6
Surgery,Forceps,Tracheal Dilating Forceps (Bowlby Dilator),815,Tracheal Dilating Forceps..,0.001492537,CDR MEDICAL INDUSTRIES,10/8/2022,10/8/2026,4,81.5,326
Anesthesia Equipment,Oxygen Cylinder & Regulators,Oxygen Cylinder 5.0 Ltrs.,7788,"Empty Oxygen Cylinder, Water capacity 5.0 Litre.Supplied with F A Valve with Flowmeter and Pressure ..",0.00199005,Braun Medical India,24/12/2022,24/12/2025,16,778.8,12460.8
Anesthesia Equipment,Anaesthesia Face Masks,"Face Mask, Size 1",196,"Anaesthesia Face Mask, Size 1            Made from silicon (green)Size: 1        Round Shape..",0.00199005,KLS Martin India,12/7/2022,12/7/2025,36,19.6,705.6
Surgery,Forceps,Cervical Punch Biopsy Forceps,1039,"Cervical Punch Biopsy ForcepsSize: 10""..",0.001492537,Narang,28/10/2023,28/10/2027,35,103.9,3636.5
Lab Equipment,Laboratory Incubators,Laboratory Incubator Universal Type 324 Ltrs Aluminium Chambers,75471.2,Temperature  Thermostatically controlled by hydraulic thermostat 5ÂºC above ambient to 70ÂºC  with a s..,0.000497512,M/S IMADE TECHNOLOGY PRIVATE LIMITED,19/11/2024,19/11/2028,36,7547.12,271696.32
Radiology Aid,Lead Aprons,StPbÂ® Full Protection - Partial Over Lap (Wrap Around Lead Apron),11760,These special procedure one piece Lead Aprons have been designed to partially overlap at the front. ..,0.000497512,Dolphin Surgical,6/7/2024,6/7/2028,34,1176,39984
OB/GYN Instruments,Pessaries,Ring Vaginal Pessary Silicone Non Sterile (Large) - 1 Pc.,327.04,IndoSurgicals Ring Vaginal Pessary are 100% silicone pessaries that are used in the management of va..,0.000497512,Bard,3/3/2025,3/3/2029,16,32.704,523.264
Lab Plasticware,Funnels,Buchner Funnel,1145.78,"Moulded in Polypropylene, these two piece funnels are light weight, easy to clean & autoclavable..",0.000497512,Romsons,2/9/2023,2/9/2027,38,114.578,4353.964
Rubber Products,Enema Syringes,Enema Syringes Higginson,239,"Enema Syringe Higginson, in Red Colour with Rectal Nozzle & ValveMade up of red rubber and are a..",0.000497512,Cook India,16/09/2023,16/09/2027,9,23.9,215.1
Opthalmology Instruments,Forceps,Suture Tying Forcep (Straight),589,Stainless SteelReusablePremium Grade..,0.002985075,Johnson & Johnson,15/02/2023,15/02/2027,37,58.9,2179.3
Other Instruments,Electrocardiograph,CONTEC ECG1200G Digital 12 channel/lead EKG+PC Sync,76876.8,CONTEC ECG1200G Digital 12 channel/lead EKG+PC Sync,0.000497512,Braun Medical India,10/4/2023,10/4/2027,17,7687.68,130690.56
Hollowware,General Quality,"IndoSurgicals Instrument Tray 12x8"" (General Quality)",549,Material: Crafted from high-quality stainless steel for durability and ease of sterilizationDesign: ..,0.000497512,Romsons,4/8/2023,4/8/2027,39,54.9,2141.1
OB/GYN Instruments,OB/GYN,Hegar Uterine Dilators Set of 8,999,"Hegar Double-Ended Uterine Dilator Set is a set of 8 manual, probe-style instrument used to dilate t..",0.000497512,Bauch & Lomb,28/02/2024,28/02/2028,2,99.9,199.8
OB/GYN Instruments,Vacuum Extractor Sets - Manual,"Vacuum Extractor Set, Manual Operated",3599,"Vacuum Extractor Set, Manual operated complete with 3 stainless steel cups (40,50,60mm)Autoclavabl..",0.000497512,Stryker,1/6/2024,1/6/2028,25,359.9,8997.5
General,Cylinder,Oxygen Cylinder 3.0 Ltrs.,6749.6,"Empty Oxygen Cylinder, Water capacity 3.0 Litre.Supplied with F A Valve with Flowmeter and Pressure ..",0.00199005,Ambu,1/1/2024,1/1/2027,30,674.96,20248.8
Linen,Disposable Cap,"Disposable Bouffant Cap, Non Woven (Pack of 100 Pcs.)",577.5,Disposable Bouffant CapMade from Non Woven materialPack of 100 Pcs...,0.000497512,Arena Medical Care,1/10/2024,1/10/2028,35,57.75,2021.25
Surgery,Forceps,Artery Forceps (Curved),339,"Size: 5"", 6"", 8"",10"" & 12""Artery Forceps, Clamps and SnapsForgings from stainless steelSilk matt..",0.001492537,Arena Medical Care,8/3/2023,8/3/2027,12,33.9,406.8
Anesthesia Equipment,Oxygen Cylinder & Regulators,Humidifier Bottle 200ml Autoclavable Plastic,704.46,Humidifier Bottle 200ml Autoclavable Plastic..,0.00199005,GPC Medical,28/05/2024,28/05/2027,11,70.446,774.906
Ophthalmology,Suture,Vicryl suture,780,10-0 45cm,0.000497512,Reckitt Benckiser,19/04/2022,19/04/2026,44,78,3432
Surgery,Scissors,"Trauma Shears 7.5""",199,"Enhanced serrated (toothed) lower edge cuts through tough materials
			Clothing-lift lip and rounde..",0.001492537,Fortis Healthcare Limited,13/07/2023,13/07/2027,39,19.9,776.1
Monitor,BP Monitor,Sphygmomanometer Aneroid Table Top / Wall Mounted Model,2217.6,Measurement Range : 0-300 mmHgInflation method : Inflation and air release by manualDisplay : Square..,0.000995025,Intersurgical,12/2/2025,12/2/2029,45,221.76,9979.2
Surgery,Retractor,Ferguson Mouth Gag,985,Ferguson Mouth Gag..,0.001492537,AJMERA BIO-MEDICAL ENGINEERS,12/1/2025,12/1/2029,38,98.5,3743
Urology,Stent,Double J stent,3489,6Fr x 26cmCook Medical,0.000497512,Hindustan Surgical,28/10/2022,28/10/2026,11,348.9,3837.9
Surgery,Forceps,Tonsil Dissecting Forceps Toothed,229,"Item Code    Size  94361    6""  94362    7""  94363    8""..",0.001492537,Max Healthcare Institute Limited,26/09/2023,26/09/2027,43,22.9,984.7
Linen,Hospital Uniform,Nurses Dress,799,"Top: Front button closure, notch lapel collar, two front patch pocketsPants: Elastic waistband with ..",0.000497512,Romsons,5/5/2024,5/5/2028,34,79.9,2716.6
Surgery,Suction Units Manual,Foot Suction Unit - Plastic,8008,"Housing: Plastic MouldedCapacity: -600 mm Hg Â± 10 , 200 ml / StrokePump Type: Piston PumpJars: 1 x 1..",0.001492537,Fortis Healthcare Limited,28/10/2024,28/10/2028,50,800.8,40040
Surgery,Forceps,Hartmann Alligator Forceps,1199,Hartmann Alligator Forceps..,0.001492537,Reckitt Benckiser,14/07/2023,14/07/2027,30,119.9,3597
Surgery,Forceps,Tungsten Carbide (TC) Ryder Needle Holder,1899,"Tungsten Carbide (TC) Ryder Needle HolderSKUSize965766""965778""..",0.001492537,Fresenius,24/12/2024,24/12/2028,3,189.9,569.7
Surgery,Forceps,Duval Lung Holding Forceps,1099,"High-Quality Stainless Steel â€“ Corrosion-resistant, durable, and autoclavable for repeated use.Trian..",0.001492537,Dr. Lal PathLabs Limited,6/11/2022,6/11/2026,3,109.9,329.7
Opthalmology Instruments,Scissors,Vannas Capsulotomy Scissors Angled,699,Stainless SteelReusablePremium Grade..,0.000497512,Max Healthcare Institute Limited,26/08/2022,26/08/2026,32,69.9,2236.8
Lab Plasticware,Racks & Stands,Rack For Micro Centrifuge Tubes (Pack of 4 Pcs.),1318.06,"Moulded in Polycarbonate, these autoclavable racks are made for holding 1.5 ml. Micro centrifuge tub..",0.000497512,Fortis Healthcare Limited,24/11/2024,24/11/2028,23,131.806,3031.538
Opthalmology Instruments,Hook,Jameson Muscle Hook,199,Stainless SteelReusablePremium Grade..,0.000497512,Lotus Surgicals,28/09/2024,28/09/2028,12,19.9,238.8
Ortho Aid,Cervical Splints,Cervical Collar Soft Eyelet,292.95,"Size :        Small, Medium, Large, XLarge        Specifications :        Washable and  high-density..",0.000497512,SISCO ,24/04/2022,24/04/2026,39,29.295,1142.505
Lab Equipment,Hot Air Sterilizers,"Hot Air Sterilizer, Triple Wall with Air Circulating System upto 250ÂºC 216 Ltrs",102690.56,"(Laboratory  Electric Oven), Triple Wall with Air Circulating System upto 250ÂºC                In ..",0.000497512,GPC Medical,26/01/2024,26/01/2028,8,10269.056,82152.448
General,Height & Weight Scales,Height Measuring Scale with Digital Weighing Scale,2832,"Height Measuring Scale, floor model With DIGITAL weighing scale Measuring range : 20 - 205cm with ..",0.00199005,Sree Balaji Surgicals,18/10/2024,18/10/2027,41,283.2,11611.2
